sent0,sent1
Video “Ri Tolak Perdamaian Tingkatkan Serangan Brutal Ke Kota Kuala Lumpur Malaysia”,NARASI: “Ri Tolak Perdamaian !! Tingkatkan Serangan Brutal Ke Kota Kuala Lumpur Malaysia”
Tabung Gas Meledak Saat Digoyang-goyang,"Silahkan lihat gambar dua orang ini sedang memperbaiki tabung gas yg mampet dg cara digoyang2 akibatnya tabung meledak berkeping2 termasuk tubuh dua orang hancur , sekali lagi hati2 tabung jangan digoyang …… tolong bantu di share yg kpd yg belum tahu demi keselamatan teman & sdr kita"
VIDEO DEMO COVID-19 DI POLANDIA YANG TUNTUT PANDEMI DIAKHIRI," Menurut klaim yang menyertai video tersebut, warga Polandia menuntut pandemi diakhiri karena sudah menyadari bahwa Covid-19, penyakit yang disebabkan oleh virus Corona jenis baru, adalah penipuan"
Video Presiden Jokowi Menari Ketika Rakyat Berdemo,Forum Facebook Fans Pak Gatot Nurmantyo mengunggah sebuah video (9/10) yang menunjukkan Presiden Jokowi beserta Ibu Negara Ariana tengah menari dalam sebuah acara
Indra Kenz Telah Dipulangkan dan Semua Asetnya Dikembalikan,Dalam video itu juga terdapat narasi berisi klaim bahwa Indra Kenz telah dipulangkan dan semua asetnya dikembalikan
Ditemukan Virus Machupo Dalam Paracetamol, Ciri-ciri obat bervirus Machupo itu berwarna putih dan mengkilap
FOTO SEORANG ANGGOTA POLISI BABAK BELUR DIHAJAR MASSA, Foto itu disertai klaim adanya seorang anggota polisi babak belur dihajar massa
HUJAN SEPERTI AIR TERJUN DI BEKASI,"video   guyuran air hujan di Stadion Wibawa Mukti, Kabupaten Bekasi"
Bupati Nduga Diculik TNI," Bahwa Bupati Nduga bersama anak-anaknya ke kodam cenderawasi papua, tiba sekitar jam 10"
PARA PENGANUT LGBT BERKUMPUL DI SICC SENTUL,"sejumlah penganut LGBT berkumpul di kawasan Sentul, Bogor, Jawa Barat"
"Pesan Berantai Waspada Aksi Begal di Taman Pancing, Denpasar, Bali",Dalam pesan berantai tersebut disebutkan bahwa adanya aksi begal di kawasan Taman Pancing
Foto Tentara Inggris dan Jerman Bermain Sepak Bola saat Gencatan Senjata Natal 1914," Pada malam natal 24 Desember 1914, tentra Jerman dan Inggris mendekorasi parit masing-masing dengan pohon Natal dan menyanyikan lagu-lagu Natal"
VOUCHER PULSA GRATIS SENILAI 500 RIBU DARI TELEGRAM,aplikasi layanan pengirim pesan instan besutan Rusia Telegram tengah membagikan voucher pulsa gratis senilai 500 ribu rupiah
INFORMASI PELAKSANAAN VAKSINASI COVID-19 DI SEKOLAH ISLAM AL FIKRI DEPOK,"INFORMASI PELAKSANAAN VAKSINASI COVID-19 DI SEKOLAH ISLAM AL FIKRI DEPOKBeredar informasi melalui pesan berantai WhatsApp mengenai adanya pelaksanaan kegiatan vaksinasi Covid-19 di Sekolah Islam Fitrah Al Fikri pada Minggu, 25 Juli 2021"
"“Ini sumbernya Din Syamsudin, Presiden Joko Widodo menolak menemui ulama dari Uzbekistan dan Xinjiang, Cina”"," Tidak benar dan tidak pernah ada kunjungan ulama dari Xinjiang dan Uzbekistan ke istana dan Presiden Jokowi menolak menerimanya,” kata Din kepada Tempo melalui pesan WhatsApp, Rabu 6 Maret 2019"
ANGGUR KIRIMAN DARI CINA YANG DIJUAL DI PINGGIR JALAN DI DAERAH PADANG DAN TEGAL…," Disebutkan anggur tersebut berasal dari Tiongkok dan disalurkan ke Padang melalui Medan, Sumatra Utara"
Banjir Air Mata Tentara Ukraina Peluk Pasangan Sebelum Berangkat Perang,Akun Facebook bernama 1Motivasi mengunggah sebuah video yang menunjukkan beberapa tentara sedang memeluk pasangannya dan diklaim merupakan momen saat tentara Ukraina berpamitan dengan pasangannya untuk pergi berperang dengan Rusia
"VOICE NOTE : AGAR PARA SANTRI BERJAGA DIRI, KARENA PKI SEKARANG MERAJALELA DI TANGERANG",Beredar informasi agar para santri di Tangerang untuk berjaga diri karena PKI sekarang merajalela di Tangerang
Akun Whatsapp Ketua PTUN Palangkaraya Nenny Frantika “+6281366865116” Meminta Sejumlah Dana,"Beredar akun Whatsapp Ketua Pengadilan Tata Usaha Negara (PTUN) Palangkaraya, Nenny Frantika dengan nomor “+6281366865116”"
KAYU INDIA BISA SEMBUHKAN COVID-19,postingan Qusthul Hindi atau kayu india yang diklaim bisa menyembuhkan covid-19
Mahasiswa UINSU meninggal dunia saat melaksanakan demo di kota medan,Kapolrestabes Medan menegaskan tidak ada pendemo yang meninggal dunia
Tanggal 2-24 Juli Ada Pelayanan Akta Kelahiran Keliling di Taman Bungkul & Royal,"Berikut kutipan narasinya:“Informasi : bagi dulur-dulur ygblm punya akte kelahiran, padatgl 2-24 juli ada pelayanan aktekelahiran keliling di jam 09"
ANIES BASWEDAN PIMPIN DEMO DI REMPANG BATAM, Warga Rempang melakukan demonstrasi terkait penolakan relokasi
Twit Felix Siauw: “membela kelepon nggak ada dalilnya”,"Akun Twitter @gadisresidu_b3 membagikan gambar tanggkapan layar dari akun Twitter Felix Siauw (@felixsuauw) dengan tulisan “membela kelepon nggak ada dalilnya , nggak ada panduannya | membela kurma , jelas pahalanya , jelas pahalanya "
“Foto Jokowi Pingsan dan Butuh Nafas Buatan”,"Akun Facebook Al Istighol mengunggah gambar (20/08/2020) yang memperlihatkan Joko Widodo (Jokowi) sedang rebahan dengan narasi sebagai berikut:“Mohon 🙏🙏🙏 Bantuan Nafas Buatan untuk Teman seperjuangan kita “ Lim Hasibuan “Dia Pingsan,Setelah kena Bogem mentah dari MUKIDI CS"
SEORANG SYEKH PALESTINA SEDANG IBADAH DI MASJIDIL AQHSA DITEMBAK ZIONIS ISRAEL PELURU…,SEORANG SYEKH PALESTINA SEDANG IBADAH DI MASJIDIL AQHSA DITEMBAK ZIONIS ISRAEL PELURU SNIPERNYA TIDAK TEMBUS KEPALA
KAPOLRI TETAPKAN CAK IMIN SEBAGAI TERSANGKA KORUPSI,Ketua Umum Partai Kebangkitan Bangsa (PKB) Muhaimin Iskandar atau Cak imin resmi ditetapkan sebagai tersangka korupsi oleh Kepolisian RI (Kapolri)
"“Kabar Duka Nunung Meninggal Dunia di Tol Solo-Ngawi Akibat Kecelakaan Maut,ini penjelasannya”",52/) mengunggah sebuah narasi yang menyatakan bahwa comedian Nunung meninggal dunia akibat kecelakaan
"Begal di Jembatan Sambaliung, Berau, Kalimantan Timur",35 yg berlokasikan di Jembatan sambaliung berau-kaltim
Akun Whatsapp Mengatasnamakan BRI Guna Melakukan Perubahan Tarif Transfer, Akun tersebut pertama kali menghubungi dengan cara menelepon melalui Whatsapp guna memberikan informasi serta pengarahan kepada customer untuk melakukan perubahan tarif transfer antar bank maupun sesama bank
"Mario Dandy Hendak Melarikan Diri, Hingga Kakinya Ditembak"," Selain itu, pada thumbnail digambarkan seorang pria mirip Mario Dandy dengan kaki pincangnya"
1000 UNIT KENDARAAN POLANTAS DILENGKAPI ETLE UNTUK MELAKSANAKAN TUGAS TILANG HINGGA…,Korlantas Polri telah mengerahkan 1000 unit kendaraan Polisi Lalu Lintas (Polantas) yang dilengkapi Electronic Traffic Law Enforcement (ETLE) untuk melakukan tilang elektronik hingga ke jalan kecil
“Jutaan Produksi Rokok Yang Terpapar Covid-19 Beredar Luas Di Masyarakat”,Akun Hansen Latuconsina membagikan postingan yang mengklaim bahwa jutaan produksi rokok yang terapapar Covid-19 beredar luas di masyarakat
Pesan Berantai Informasi Vaksin Covid-19 Paling Aman dari Artikel New York Times,Beredar di aplikasi percakapan Whatsapp pesan berantai artikel terkait peringkat keamanan vaksin covid-19 yang diklaim dari New York Times
STROKE BISA MUNCUL SAAT MEMBASAHI KEPALA DI AWAL MANDI,membasahi kepala saat mandi dapat menyebabkan stroke beredar di media sosial Facebook
PDIP tak membutuhkan dukungan dan suara umat Islam,Gambar itu memuat dua teks bertuliskan “Megawati: Kami tidak butuh dukungan dan suara dari kalangan umat Islam” dan “TKN Jokowi Ma’ruf: Tanpa dukungan orang Islam kami tetap menang”
Fenomena Albelian selama Juli-Agustus 2022," Tapi selama Fenomena Alphelion ini, jarak antara keduanya akan meningkat menjadi 152"
Video Jagal Sapi Meninggal Ditendang Sapi Qurban, Video itu disertai narasi yang menyebutkan bahwa tukang jagalnya meninggal dunia setelah tertendang sapi tersebut
Tangkapan Layar Video CNN Memberitakan Rakyat akan dibunuh oleh Vaksin dari Tiongkok,"Beredar sebuah postingan dari akun Facebook Ahmad memposting berupa tangkapan layar dari video siaran CNN dan terdapat tulisan “hati2,,, rakyat akan dibunuh vaksin Cina,,,!”"
MARK ZUCKERBERG ANCAM TUTUP FACEBOOK DI INDONESIA KARENA KERAP DIBULLY NETIZEN,"tangkapan layar artikel berita berjudul ""Mark Zuckerberg ancam Tutup Facebook di Indonesia karna kerap Dibully netizen"""
"Imbauan Walikota Solo, Kita Beli Tiket Kebun Binatang Jurug Karena Pengelola Sudah Tidak Sanggup Memberi Makan Binatang","Berikut kutipan narasinya:“Walikota Solo menghimbau, bukan paksaan, kita2 ikut beli ticket bonbin Jurug"
VIDEO PROSES PENGANGKATAN BADAN PESAWAT SRIWIJAYA AIR SJ 182,video yang diklaim sebagai proses pengangkatan badan pesawat Sriwijaya SJ 182
Tanaman Hias Pohon Dolar Merupakan Penyebab Penyakit Leukimia,USM dan Kemenkes membuktikan bahwa kedua mahasiswa ini terkena penyakit leukimia akibat tanaman di atas
HADIAH ULANG TAHUN BRI KE 120,"HADIAH ULANG TAHUN BRI KE 120Beredar di berbagai media sosial, informasi mengenai hadiah ulang tahun Bank Rakyat Indonesia (BRI) ke-120 melalui kuesioner dan berkesempatan mendapatkan Rp5 juta"
Bayi Hiu Berwajah Manusia Disebut Anak Durhaka,sebuah unggahan yang menyebut penemuan bayi hiu berwajah manusia
Vaksin Sebabkan Sperma Membeku dan Mr P Mengecil,Berikut hasil penelusuran klaim vaksin membuat sperma membeku dan Mr P mengecil
Terjadi Pemblokiran Akses Jalan Kerinci Bangko,Sebuah akun Facebook @AfaninFY mengunggah informasi yang menyebut bahwa akses jalan Kerinci Bangko telah dilakukan pemblokiran
Foto Anak Suriah Tidur di Antara Makam Orang Tuanya," Dalam narasinya, pemilik status menyebutkan makan tersebut adalah makam orang tuanya yang tewas dalam peperangan di Suriah"
BISKUIT OREO YANG BEREDAR DI INDONESIA TERBUAT DARI LEMAK DAN SUSU BABI, Tangkapan layar itu disertai narasi bahwa biskuit Oreo dilarang bagi muslim karena terbuat dari lemak dan susu babi
LOGO HALAL YANG BARU TERINSPIRASI DARI PENUTUP KEPALA USKUP,"logo Halal terbaru milik negara Indonesia itu terinspirasi dari penutup kepala milik uskup gereja, dengan ditambah narasi dalam postingan tersebut yang menyatakan : “ Br paham inii mksdnya yakul mengganti label halal"
Merokok Menghadang Virus Corona Masuk Ke Paru-Paru,"Bahwa kandungan Nikotin rokok menempel di paru-paru yang dimana, virus yang masuk ke paru-paru lewat udara dapat terhalang karena adanya nikotin rokok tersebut"
Video “Kereta Pertama di Dunia”," Akun Facebook Ajay Sonkar turut membagikan video tersebut pada 30 Agustus 2021, dengan klaim bahwa video tersebut adalah kereta api pertama di dunia yang mulai beroperasi pada 24 Desember 1809"
"DAPAT SUARA TERBANYAK MENJADI KETUA DPR, PUAN BERJANJI AKAN MENSEJAHTERAKAN PARTAI"," Postingan itu mengarah kepada laman portal dengan pemberitaan mengenai Puan Maharani yang akan menjadi Ketua DPR dan berjanji akan menyejahterakan partai politiknya, yakni Partai Demokrasi Indonesia Perjuangan (PDIP)"
KPK GELAR REKRUTMEN PEGAWAI BARU, Di antaranya sebuah situs lowongan kerja terdapat informasi rekrutmen pegawai KPK
"“vaksin korongna itu mRNA, ini bukan vaksin tapi terapi gen, mRNA ini jadi instruksi untuk menyebabkan mutasi”", Di gambar tersebut terdapat narasi sebagai berikut:“Saya kasih tahu ini vaksin korongna itu mRNA… RNA messenger
Vaksin Covid-19 Beresiko Tinggi Bagi Perempuan yang Sedang Menstruasi," Dalam postingan tersebut dijelaskan resiko yang tinggi bagi perempuan yang divaksinasi Covid-19 pada saat menstruasi karena dosis vaksin akan menurunkan imunitas terlebih dahulu, ini bahaya bagi wanita yang sedang menstruasi karena pada saat itu imunitas wanita juga sedang menurun"
GUNUNG SELALU MEMPERLIHATKAN SIFAT ASLI SESEORANG,Gunung selalu memperlihatkan sifat asli seseorang
Anak 10 Tahun Meninggal dan Tidak Bisa Keluar Rumah Sakit Akibat Terbentur Biaya, Saya memohon dengan sangat kepada hamba2 allah kasihanin jenazah anak saya yang yatim yang masih di dalam kamar jenazah dan belum boleh di bawa pulang sebelum melunaskan seluruh total tagihan biaya rumah sakit
Pejabat dan Caleg Terjerat OTT Politik Uang,"id, tentang caleg PKS di Lombok Timur yang juga terkait politik Uang"
“Antena 5G di dalam masker Anda”," The antenna killer, 5G antenna killer, that’s inside the masks that they are telling everybody to wear” atau yang jika diterjemahkan : “Ya memang"
Kandungan Formaldehida pada Vaksin Menyebabkan Leukimia pada Anak,Klaim bahwa Formaldehida pada vaksin dapat menyebakan kanker Leukimia pada anak beredar di tengah banyaknya perusahaan Biotech dan Farmasi sedang berlomba untuk membuat vaksin virus Corona yang efektif
"Poster Gubernur Lampung “Hari Kamis, Tgl 7 April 2020 Kami Menutup Akses Masuk Gerbang Bakauheni”","Beredar poster di Whatsapp yang menyebutkan bahwa Pemerintah Provinsi (Pemprov) Lampung akan menutup akses masuk gerbang Bakauheni pada Kamis, 7 April 2020 hingga Jumat, 29 Mei 2020"
“Manusia pertama baru saja mendarat di bulan tapi foto bumi yg diambil dari bulan sdh duluan dipajang”,Manusia pertama baru saja mendarat di bulan tapi foto bumi yg diambil dari bulan sdh duluan dipajang Presiden Nixon di ruangan kerjanya? Logikanya dah ada yg duluan ke bulan atau fotonya cuma editan atau rekayasa2
Pesan Berantai ‘Telah di temukan mayat di depan skolah SMP N 6 Cirebon’," Berikut kutipan narasinya:Telah di temukan mayat di depan skolah SMP N 6 Cirebon dia adalah perempuan siswi SMP N 6 kls 7 yg jadi korbannya juga menurut polisi korban di Ambil Ginjalnya lalu di kubur begitu ajh oleh si pembunuh,kejadian tdi pd jam 3 sore setelah warga setempat menemukan galian yg mencurigakan ahirnya polisi datang & skrg lagi di lakukan otopsi bagi ibu2 bpk2 hati-hati skrg penculikan & pembunuhan terhadap anak sdh masuk ke wilayah Tasik ciamis garut , mohon di share,"
Keterlibatan Pilot Lion Air Pribadi Alisudarso Terkait Kasus Aktivis #2019GantiPresiden Neno Warisman Yang Memakai Mikrofon Di Pesawat,Pilot senior yang bercita-cita mati syahid itu kini telah digrounded oleh Lion Air untuk penyelidikan lebih lanjut
SPDP Prabowo Subianto Tersangka Makar,"2) Bersamaan dengan ini, Capres @prabowo konon sdh ditetapkan sebagai tersangka makar"
Mahasiswa Universitas Najran Ikut Melakukan Protes terhadap Pemerintah Arab Saudi, Salah satu video yang diunggah berupa video yang disertai narasi bahwa demonstrasi dilakukan oleh mahasiswa Universitas Najran
“Arief Budiman : Saya Siap Di Kutuk Menjadi Batu Jika KPU Curang”,com dengan judul “Arief Budiman : Saya Siap Di Kutuk Menjadi Batu Jika KPU Curang” adalah tidak benar adanya
SATU POSITIF CORONA DI RS RUMAH SEHAT TERPADU DOMPET DHUAFA," Jika Rumah Sehat Terpadu Dompet Dhuafa (RST DD) Jalan Raya Kemang, Desa Jampang, Kecamatan Kemang, Kabupaten Bogor"
LESTI KEJORA DILANTIK JADI BUPATI CIANJUR,LESTI KEJORA DILANTIK JADI BUPATI CIANJURKabar tentang penyanyi dangdut Lesti Kejora dilantik jadi Bupati Cianjur beredar di media sosial
4 ORANG MENGALAMI KELUMPUHAN WAJAH SETELAH DISUNTIK VAKSIN CORONA,info mengangkat sebuah berita yang mengklaim vaksin corona memiliki dampak terhadap manusia yakni kelumpuhan di wajah
Video Kecelakaan Dua Pelajar Tergilas Bus di Cileungsi Bogor,Kejadian hari ini di Bekasi arah jalan ke Cileungsi jam 11 siang tadi
TPS 054 Grogol Petamburan yang Unggulkan Jokowi Ada di Markas FPI,"Satu di antaranya di TPS 054, Grogol Petamburan, Jakarta Barat"
Informasi Pasukan Ukraina Menyandera Dua WNI Tidak Benar,"Informasi pasukan Ukraina menyandera dua WNI berupa video berdurasi 2 menit 38 detik, menampilan  potongan-potongan video yang didalamnya terdapat tulisan ""Ukraina ingin libatkan Indoensia pasukan Ukraina menyadera 2 WNI"
PSBB JAKARTA JILID II BAGIAN DARI SKENARIO DESAK PRESIDEN JOKOWI MUNDUR,Pembatasan Sosial Berskala Besar (PSBB) Jakarta Jilid II adalah bagian dari skenario untuk mendesak Jokowi mundur dari jabatannya sebagai Presiden
Luna Maya Hamil Anak Kembar,Akun Facebook Nharsyyag Kanen membagikan sebuah tautan Youtube yang dalam unggahannya memperlihatkan Luna Maya beserta seorang laki-laki dan disertai narasi bahwa Luna Maya tengah hamil bayi kembar
Hoaks Surat Pemanggilan Seleksi Pegawai Pertamina,"Pada lembar ketiga hingga enam, terdapat 100 nama yang diklaim sebagai peserta seleksi rekrutmen pegawai Pertamina"
PENIPUAN REKRUTMEN PEKERJA YANG MENGATASNAMAKAN PT. HOLCIM INDONESIA TBK,Penipuan rekrutmen pekerja yang mengatasnamakan PT
“ERDOGAN TAK MAU DUDUK DI KURSI TAMU YANG LEBIH KECIL DARI KURSI BABA (POP) VATIKAN”, DIA MAU KURSI YANG SAMA BESAR DENGAN POP
Kabar John Cena Meninggal Dunia pada 18 Agustus 2021,Akun Facebook Hamodin Panagas mengunggah video berdurasi 19 detik yang berisi beberapa gambar John Cena
Akun Whatsapp Kadis Kominfosanti Ketut Suwarmawan Kabupaten Buleleng “+6281324422253”,"Beredar akun Whatsapp Kadis Komunikasi, Informatika, Persandian, dan Statistik Kabupaten Buleleng Ketut Suwarmawan dengan nomor “+6281324422253”"
“Ra Karror menikahi dua perempuan sekaligus.”, Pria tersebut justru menikah lagi atas permintaan istri pertama
AKUN WHATSAPP MENGATASNAMAKAN KEPALA DINAS KESEHATAN KOTA DEPOK,akun WhatsApp yang mengatasnamakan Kepala Dinas Kesehatan (Dinkes) Kota Depok dr
Anak-Anak di Rusia Menyanyikan Lagu Indonesia Raya untuk Menyambut Presiden RI dalam Misi Perdamaian Rusia-Ukarina,Beredar sebuah unggahan di media sosial Facebook yang menampilkan video paduan suara dari anak-anak di Rusia yang menyanyikan lagu Indonesia Raya
Video “INDONESIA TERANCAM AUSTRALIA MULAI IKUT CAMPUR BANTU EROPA LAWAN NKRI”,* “AUSTRALIA BANTU UNI EROPA SERONG INDONESIA” (di post)
“GELOMBANG KE-3 Kuota Internet Free dari Operator!”,“🎉🎉🎉TELAH DIBUKA GELOMBANG KE-3 Kuota Internet Free dari Operator!Anda adalah orang yang beruntung jika mendapatkan pesan iniSubsidi tidak dipungut biaya sepeserpunBuka websitenya dan segera daftarkan untuk mendapatkan 75GB
JOKOWI TETAPKAN STATUS KEDARURATAN KEUANGAN NEGARA PADA TANGGAL 17 MARET 2021," Rumor itu bermula dari beredarnya sebuah dokumen di media sosial berupa salinan surat Keputusan Presiden Tentang Penetapan Kedaruratan Keuangan Negara yang ditandatangani oleh Presiden Jokowi pada tanggal 17 Maret 2021, seperti yang dapat kita lihat disini https://bit"
ANGKA KEMATIAN KARENA VAKSIN CORONA CAPAI 3.005 SEJAK DESEMBER 2020,ANGKA KEMATIAN KARENA VAKSIN CORONA CAPAI 3
Video Bola Petir Melintas di Rel Kereta Api, Postingan tersebut menampilkan sebuah bola biru melintas rel kereta api dan menyambar tiang listrik
"INDONESIA AKAN SUSUL MALAYSIA BERLAKUKAN MICROCHIP, TANPA VAKSIN TAK BISA AMBIL…","Indonesia akan menyusul Malaysia yang akan memberlakukan microchip pada 2025 dan imbasnya tanpa vaksin, tidak bisa mengambil uang dari ATM"
"GEGER UANG KOIN RP 1000 BISA DIJUAL RATUSAN JUTA, BANK INDONESIA JAMIN JIKA CACAT…",Uang logam bisa dijual dengan harga mahal heboh kembali
VIDEO ANGIN PUTING BELIUNG DI VILLA BOGOR INDAH & POMAD BOGOR,"Beredar di aplikasi percakapan Whatsapp dan Youtube sebuah video mengenai angin puting beliung yang berjudul  Angin Puting Beliung Hancurkan Perumahan Warga , pada bagian keterangannya bertuliskan Info Lokasi di Perumahan Villa Bogor Indah dan Perumahan Pomad Bogor"
GEGER SIDANG PLENO KPUD CIANJUR RICUH. SUARA PRABOWO HILANG LAGI,sidang pleno kpud Cianjur ricuh karena suara Prabowo hilang 10rbBenarkah demikian? 
NOMOR WHATSAPP MENGATASNAMAKAN ANGGOTA DPR RI AGUNG BUDI SANTOSO, Akun tersebut menggunakan foto Agung Budi Santoso sebagai foto profilnya
Krisis Ekonomi di Perancis Disebabkan oleh Pemboikotan Produk Perancis, Akun FB tersebut menyebarluaskan informasi bahwa Perancis mengalami krisis ekonomi karena banyaknya produk Perancis yang diboikot sebagai simbol protes terhadap pemerintah Perancis
Hadiah Rp2 Juta Dalam Rangka Ulang Tahun BRI Ke-120,Beredar sebuah tautan dari media sosial Whatsapp dengan klaim kejutan hadiah Rp2 juta dari Bank Rakyat Indonesia (BRI) dalam rangka ulang tahun BRI yang ke-120
PERAMPOKAN WANITA KARYAWATI BANK OLEH SUPIR TAKSI ONLINE DI BANDUNG,PERAMPOKAN WANITA KARYAWATI BANK OLEH SUPIR TAKSI ONLINE DI BANDUNG
GENOSE C19 DIPERJUAL BELIKAN DI SITUS BELANJA ONLINE,Genose C19 diperjual belikan dengan harga 75 juta Rupiah
"Foto “Penipuan para medis, termasuk alat tes suhu di kening, itu alat sinar leser tes suhu kabel demi proyek covit”"," Termasuk alat tes suhu di kening, itu alat sinar leser tes suhu kabel"
"“Karcis tol sekarang langsung tercantum rata-rata kecepatan kendaraan kita. Jika suatu saat, kita kena tilang tidak bisa mengelak.”",771) mengunggah sebuah gambar dengan narasi sebagai berikut:“FYIKarcis tol sekarang langsung tercantum rata-rata kecepatan kendaraan kita
PESAN WA MENGATASNAMAKAN BUPATI PURWAKARTA ANNE RATNA MUSTIKA MEMBERI SUMBANGAN," Dalam pesan tersebut, pihak yang mengatasnamakan Anne Ratna Mustika meminta agar pihak yang sedang dihubungi tersebut mengirimkan nomor rekeningnya untuk keperluan pengiriman sumbangan atau donasi"
UNDANGAN SEMINAR MENGATASNAMAKAN BPK RI, Telah beredar surat undangan seminar yang mengatasnamakan Sekretariat Jenderal Badan Pemeriksa Keuangan Republik Indonesia
Foto “Lihatlah Kebiadapan Israel Ini”,"Beredar artikel berjudul “Kalau Anda Benar,Benar Umat Muslim Mohon Di Bagikan,Lihatlah Kebiadapan Israel Ini”"
Video “JOKOWI KEMBALI KIRIM RIBUAN PASUKAN KE EROPA”,* “INDONESIA TAK MAIN-MAIN JOKOWI KEMBALI KIRIM RIBUAN PASUKAN KE EROPA” (di gambar pratinjau)
Foto “Penemuan kotak-kotak kontainer biohazard di Konsulat Jenderal Amerika di Wuhan”,92) mengunggah sebuah gambar yang di dalamnya terdapat narasi “Buried hazardous containers found buried in US evacuated consulate in Wuhan: China needs explanation”“Kementerian Luar Negeri Cina secara resmi menuntut agar Amerika Serikat menjelaskan bahwa kontainer biohazard ditemukan terkubur di konsulat jenderal yang dievakuasi di Wuhan
Video Salju Turun di Masjidil Haram, Masjidil Haram diselimuti warna putih karena salju yang turun”
“penonton Liga Jerman membuat ‘konfigurasi’ menghormati Rasulullah”," Ratusan ribu penonton sepak bola Liga Jerman, membuat ‘konfigurasi’ utk menghormati Rasulullah SAW"
Pengumuman Beasiswa Covid-19 Rp4 Juta dari STMIK Royal Kisaran Melalui SMS,Saleh Malawat (Ket STMIK Royal) DGN Adanya SRT Ristekdikti-STMIK Pd MusimCovid19 Perihal Pnerimaan Beasiswa COVID Rp4 jt
UFO DATANG KE LANGIT JEPANG, Banyak yang berspekulasi jika penampakan tersebut adalah UFO (Unidentified Flying Object)
ERICK TOHIR SEBUT BANGSA INDONESIA BANYAK YANG BERMENTAL PENGHIANAT TRANSPORT DAN…," yang berjudul ""ERICK TOHIR SEBUT BANGSA INDONESIA BANYAK YANG BERMENTAL PENGHIANAT TRANSPORT DAN KAOS KAMPANYE DIAMBIL TAPI TAK DATANG KE KAMPANYE JOKOWI - MA'RUF AMIN"" Setelah Tim Jabar Saber Hoaks melakukan penelusuran screenshot tersebut merupakan hasil suntingan"
Said Aqil Siradj Sebut Jokowi Imam Mahdi," Fieling Saya,Pak Jokowi Itu ""IMAM MAHDI"" Yang Muncul di Akhir Zaman Nanti"
Operasi Razia Lalu Lintas di Banjarmasin dalam Rangka Operasi Patuh Intan Pada 21 September 2021,"“jadwal Razia esok tggl 21 September, harap surat2 dilengkapi : bundaran kayu tangi, samsat kayu tangi, simpang 4 sungai andai, s"
"Hoaks, Ketua KPK Firli Diringkus Polda Metro Jaya",”Tidak Ada Berita Ketua KPK Firli Bahuri Ditangkap Polda Metro JayaBerdasarkan penelusuran Solopos
AKUN FACEBOOK NAJWA SHIHAB MENJUAL PRODUK AC,postingan di media sosial Facebook yang mengatasnamakan Najwa Shihab
Gambar Tangkapan Layar Artikel Viva “Jateng Disebut Provinsi Termiskin di Pulau Jawa”,Akun Facebook Mangoen Juanandri pada 31 Mei 2022 memposting gambar tangkapan layar artikel Viva berjudul “Jateng Disebut Provinsi Termiskin di Pulau Jawa”
TEKA-TEKI CAWAPRES GANJAR TERUNGKAP, Video berdurasi 10 menit 32 detik tersebut termuat keterangan “TEKA-TEKI CAPRES GANJAR TEMUI TITIK TERANG
Darah Orang yang Sudah Divaksin COVID-19 Tidak Sehat,Akun Facebook tersebut kemudian mengaitkan bahwa darah orang yang sudah divaksin COVID-19 menjadi tidak sehat dan rusak
"Siap-siap Suntik Vaksin Dosis Ketiga, Tak Punya Kartu BPJS Kesehatan Wajib Bayar","live membuat artikel berjudul “Siap-siap Suntik Vaksin Dosis Ketiga, Tak Punya Kartu BPJS Kesehatan Wajib Bayar” yang tayang pada 9 Januari 2022"
AKAN BEREDAR VIDEO SOAL COVID-19 INDIA YANG RETAS PONSEL DALAM 10 DETIK, Disebutkan pula   video tersebut menunjukan bagaimana curva covid-19 di India mendatar
Beras Produksi UD Widodo Mengandung Bahan Kimia,Ud widodo produsen beras digrebegBeras mengandung kimiaUD widodo1
Foto “Lagi lagi corona tka cina makasih banyak yang datang ke Indonesia trs bawa amunisi”,"35) dengan narasi sebagai berikut:“Lagi lagi corona tka cina makasih banyak yang datang ke Indonesia,,, trs bawa amunisi segala buat apa bambang??? Buat nyerang kaum Muslim kah??”Postingan Kristin Hadija yang dibagikan adalah gambar dengan narasi sebagai berikut:“Penyelundupan amunisi jelas lebih tinggi grade-nya daripada narkoba"
“warga dijamu Gubernurnya”,NARASI“Saya suka melihat photo ini dimana warga dijamu Gubernurnya
PEMUDA YG GREBEK MUNCUL.! TUNJUKKAN ADEGAN TEL4NJ4NG IBU NORMA SAAT DIKONTRAKAN ROZY,! TAMBAH BIKIN MALU AKHIRNYA PEMUDA YG GREBEKK ROZY MUNCUL IBU NORMA TERTANGKAP SEDANG BUKA BAJU CELANA”
"Foto Protes Anti-Vaksin di Canberra, Australia Tahun 2022","Beredar postingan di Facebook oleh akun bernama HONK, yang memposting sebuah foto disertai keterangan bahwa foto tersebut adalah protes anti-vaksin yang terjadi di Canberra, Australia, tahun 2022"
PRESIDEN PAKAI BAJU CHINA SAAT UPACARA HUT RI,pakaian yang dikenakan oleh Bapak Presiden Joko Widodo berasal dari Cina dalam Upacara HUT Republik Indonesia yang ke-78
PRABOWO MARAHI EMAK BERCADAR KARENA DIKIRA INTEL,PRABOWO MARAHI EMAK BERCADAR KARENA DIKIRA INTEL
