sent0,sent1,hard_neg
Mahasiswa UnSri meninggal dunia setelah terjatuh dari lantai tiga apartemen Unsri,"""Mahasiswa palembang meninggal akibat demo""Sempat beredar isu tentang meninggalnya seorang mahasiswa Universitas Sriwijaya yang dikait-kaitkan dengan aksi demo yang terjadi kemarin",Masker Menyebabkan Kanker hingga Hipoksemia
Kerusuhan Gacoan Ambengan Surabaya,kerusuhan di sebuah gerai makanan,"“Langkah untuk mendaftar Prakerja, Kunjungi situs prakerja[dot]vip”"
Deretan Kata Sandi yang Sering Digunakan pada 2023," Informasi tersebut disebarkan pada 17 Desember 2023 dengan keterangan ‘Berikut adalah deretan kata sandi/password yang paling sering digunaikan pada tahun 2023 berdasarkan hasil riset Perusahaan Keamanan Siber, Nordpass : 12345, admin, 12345678, 123456789, 1234, 12345, password, 123, Aa123456, 1234567890, UNKOWN, 1234567, 123123, 111111, Pasword, 12345678910, 000000, admin123, ******, user’",Akun Facebook Plt Kepala BKN Bima Haria Wibisana
Korban Kebakaran Hawaii Menyelamatkan Diri di Laut,beberapa korban kebakaran Hawaii,NOMER WHATSAPP YANG MENGATASNAMAKAN BUPATI PURWAKARTA HAJI ANNE RATNA MUSTIKA
"Rohani Sebut Pertumbuhan Ekonomi SBT Paling Rendah di Maluku, Akademisi Buka Data 2015-2019","Dalam debat ini, Calon Bupati Rohani Vantah mengaku pertumbuhan ekonomi SBT paling rendah di Provinsi Maluku, pendapatan masyarakat rendah serta kemiskinan dan pengangguran makin tinggi",“GELOMBANG PANAS KINI MELANDA NEGARA KITA”
Aspal Pecah di Surabaya,"terjadi aspal meletus (merekah-red) di Surabaya, Jawa Timur",TOKOH GADIS KECIL MASHA DALAM TV KARTUN MASHA AND THE BEAR TELAH MENINGGAL 21 TAHUN…
"Negara Habiskan Biaya 1,2 Miliar Rupiah untuk Padamkan Bromo",Beredar unggahan di TikTok menginformasikan tentang biaya yang dikeluarkan untuk memadamkan kebakaran Bromo,BAHAYA ASPARTAM BERDAMPAK PENGERASAN OTAK DAN PENGERASAN SUMSUM TULANG BELAKANG
Tragedi Carok karena Konflik Pilkades di Bangkalan,telah terjadi pembacokan karena Pemilihan Kepala Desa di Bangkalan Madura,SINOVAC YANG AKAN DIVAKSINKAN KE 175 JUTA RAKYAT INDONESIA TERNYATA VAKSIN BERBAHAYA
Puncak Hujan Meteor 13 Agustus," Meteor akan bisa terlihat dengan mata telanjang tanpa teleskop dengan catatan tidak hujan, tidak berawan, serta terhindar dari polusi cahaya",AHY SERANG JOKOWI KELAKUAN ISTRINYA BEGINI !!
Pembelian Tiket Kapal Ferry Lewat Website atau Aplikasi, Dalam videonya juga menerangkan   pembelian tiket dalam loket tunai tidak dapat dilakukan,TPS 054 Grogol Petamburan yang Unggulkan Jokowi Ada di Markas FPI
Video Pemotor yang Melintas di JLNT Casablanca Tak Ditilang Polisi Karena Punya Black Card,Black card itu ditengarai yang meloloskan pengendara motor dari pemeriksaan petugas,"Viral, Pemutihan SIM untuk Smart SIM Berlaku Mulai 25 Agustus 2019"
Pengendara Motor Tertabrak Kereta Api di Sidoarjo,kecelakaan antara kereta api dengan sepeda motor,Istri Sah Labrak Wanita Simpanan Dirut Garuda
Penghapusan Sistem Transit Kereta Api Di Stasiun Blitar,sistem transit kereta api commuter di Stasiun Blitar mulai tanggal 15 Juli 2023 dihapus,Pelarangan Mudik karena Kondisi Keuangan di Bank Mengkhawatirkan
Himbauan untuk Tidak Keluar Rumah oleh Polantas Surabaya, Dalam poster tersebut Satlantas Polrestabes Surabaya juga turut melaksanakan penegakan hukum dan menindak secara tegas konvoi oknum pesilat di Surabaya,Video “ini di PGC evakuasi pasien COVID 19.”
Amien Rais menyebut 74 persen tanah di Indonesia dikuasai segelintir orang.," Menurut ekonom Drajad Wibowo, yang juga mantan Wakil Ketua Umum PAN, pernyataan Amien berasal dari riset yang dilakukan Megawati Institute, lembaga riset yang berafiliasi dengan Partai Demokrasi Indonesia Perjuangan (PDIP) pada Desember 2017",“suspect coronavirus ditemukan di salah satu terapis spa Hotel Goldenhands kelapa gading”
"Penggalian Saluran Air di Penjaringan, Jakarta Utara Bukan Proyek Palyja"," PAM Lyonnaise Jaya (Palyja), melainkan proyek milik PT","Foto Penampakan Demodex, Makhluk yang Hidup di Wajah Manusia"
BELI PEMPEK DAN NASI BUNGKUS DI PALEMBANG KENA PAJAK 10 PERSEN,Ada warginet ang menanyakan mengenai Pempek dan Nasi Bungkus dikenakan pajak,Video Penampakan Kuntilanak di Rumah Sakit Galang Batam
Pilkades di Desa Kanegarah Bangkalan Kisruh,"Desa Kanegarah, Kecamatan Konang, Kabupaten Bangkalan yang sedang memanas",“Masjid-masjid mewah dan megah di Pakistan dirusak massa untuk dijual batanya serta besinya untuk kebutuhan makan umatnya”
Ular di posko PMI Bojonegoro," Dari keterangan video, lokasi ular tersebut berada di Posko PMI Bojonegoro",Makan Buah Saat Perut Kosong Sembuhkan Kanker
Penggunaan Obat Asam Urat dapat Sebabkan Kerusakan Ginjal,penggunaan obat asam urat “allopurinol” dapat sebabkan kerusakan pada ginjal,"""Kabar Terkini, India di Landa Badai Tornado"""
Warga Keturunan Tionghoa Tidak Boleh Memiliki Aset di Yogyakarta,keturunan Tionghoa tidak boleh memiliki aset di Daerah Istimewa Yogyakarta,“bawah merah untuk penangkalan apabila tergigit Ular atau binatang apa saja yg mempunyai bisa”
Enam Orang Pembegal Kabur Berkat Korek Api Korban,"terdapat enam orang pembegal di kota Malang, Jawa Timur yang kabur saat korban menodongkan korek api",FBI TANGKAP BILL GATES ATAS TUDUHAN TERORISME BIOLOGIS CIPTAKAN CORONAVIRUS
"Kasus Covid di Indonesia Naik 45,7%","kasus covid-19 di Indonesia mengalami peningkatan sebesar 45,7% dan kematuan meningkat sebesar 44%","Pesan Berantai Waspada Aksi Begal di Taman Pancing, Denpasar, Bali"
BPJS KESEHATAN KINI TAK LAGI GRATIS, Setiap peserta BPJS dalam mendapatkan layanan kesehatan di era jaminan kesehatan nasional (JKN) akan berlaku tarif yang Besarannya talah diatur,HADIAH RP 5 JUTA ANNIVERSARY KAI KE-77
FPI Tidak Menyebarkan Spanduk Habib Rizieq Dukung Khilafah,"co, Novel Bamukmin, Anggota FPI, membantah pihaknya telah melakukan pemasangan spanduk tersebut",Anggaran Pemilu 2019 meningkat tapi kotak suara pakai kardus
KH Asep Saifuddin Chalim Bantah Sebut Orang yang Menyarankan Memilih Gus Ipul Telah Berkhianat,"""Orang yang menyarankan memilih Gus Ipul itu tidak boleh diikuti sebab mereka sudah berkhianat kepada Allah dan Rasulnya""","CHEMTRAIL DI PLTA SAGULING, BANDUNG BARAT"
Tidak Ada Manfaat Menggunakan Metode Menggoyangkan Tangki Saat Pengisian Bensin, Dalam tulisannya terdapat cara yang dilakukan oleh pengguna kendaraan bermotor saat mengisi bahan bakar adalah dengan menggoyang-goyangkan kendaraan supaya bensin lebih cepat masuk,Lowongan Kerja PT Kereta Api Indonesia
Deklarasi Demokrat Dukung Prabowo,Partai Demokrat telah mendeklarasikan dukung Prabowo menjadi Presiden Republik Indonesia 2024,Habib Rizieq Shihab Serukan Coblos Jokowi
"Pilkada Sleman, DWS: Hampir Setengah APBD buat Belanja Pegawai?"," Hal ini ini kami ambil untuk melibatkan multistakeholders ini dikarenakan APBD di Kabupaten Sleman terbatas, dan dalam hal yang terbatas tersebut, hampir setengah dari APBD Kabupaten Sleman untuk belanja pegawai,"" ujar Danang",IMIGRASI TAHAN 300 WN TIONGKOK PEMBAWA 3000 SENJATA API
BATAS MINIMAL USIA PERNIKAHAN PADA PEREMPUAN DIUSULKAN MENJADI 19 TAHUN,menanyakan kebenran Berita yang beredar mengenai Batas Minimal Usia Pernikahan pada perempuan diusulkan menjadi 19 Tahun,PEMBUATAN BONEKA HELLO KITTY SEBAGAI PERJANJIAN SEORANG IBU DENGAN IBLIS ATAS KESEMBUHAN…
MASINIS JAJAN DI WARUNG PAKAI LOKOMOTIF,MASINIS JAJAN DI WARUNG PAKAI LOKOMOTIF,Video Penampakan Burung Garuda di Gunung Penanggungan
Demo Mie Gacoan Pamekasan,"Beredar video aksi demo di Mie Gacoan Pamekasan, Jawa Timur",“Info dari pasien yg sudah sembuh dari RS Persahabatan ..”
"HABIB BAHAR TINGGALKAN POLDA JABAR, 100 NAPI HAPAL 80 HADITS DAN 6 TAHANAN JADI…","Menanyakan kebenaran berita Habib Bahar tinggalkan Polda Jabar, 100 Napi Hafal 80 Hadits hingga 6 tahanan jadi Mualaf",NOMER WA MENGATASNAMAKAN WAKIL GUBERNUR JAWA BARAT
Gelatin Babi pada Beberapa Jenis Makanan," Dalam video tersebut juga menjelaskan manfaat gelatin dan bahan pembuatan gelatin seperti kulit dan tulang sapi, ayam, hingga babi",FLYER DIGITAL PPKM DARURAT KABUPATEN SUKABUMI YANG MEMBERLAKUKAN PERBANYAK KE MESJID
Hadiah Umrah dari Jalan Santai diganti TV dan Dispenser, Informasi tersebut beredar di TikTok pada 23 Agustus 2023 dengan keterangan ‘apakah kamu tahu pemenang hadiah utama umrah jalan sehat diganti TV dan dispenser’,VIDEO BANJIR DI JAWA BARAT TIDAK DILIPUT MEDIA NASIONAL
"""Dinkes Pamekasan: Kasus Santri Kadur Efek ORI Difteri""","""MASIHKAH DEPKES INGIN MEMAKSAKAN VAKSINASI???LIHAT INI CONTOH NYO, MENYEDIHKAN SEKALI",Amazon Bagikan Hadiah Smartphone Huawei Mate 40 Pro 5G dalam Rangka Perayaan Ulang Tahun Ke-30
Pembelian Tiket Kapal Ferry Lewat Website atau Aplikasi,pembelian tiket kapal Ferry dapat dibeli melalui website Ferizy,"Nining Belum Terbukti Tenggelam Selama 1,5 Tahun"
Gelatin Babi pada Beberapa Jenis Makanan," Video yang berdurasi 1 menit 28 detik tersebut membahas makanan yang kira-kira mengandung gelatin babi, seperti gummy bear, pudding, marshmallow, jelly, agar-agar, dan es krim",Foto “Satu-satunya orang yang diizinkan duduk di Ka’bah saat ini adalah tukang bersih-bersih”
Pengisian Daya di Tempat Umum dapat Beresiko Mengalami Pencurian Data,bahaya melakukan pengisian daya di Bandara atau tempat umum dikarenakan dapat mengakses data pribadi,Data Pertumbuhan Ekonomi Aceh
Presiden Jokowi Dorong Pekerja Kantor Jakarta Lakukan Hybrid,"Presiden Joko Widodo mendorong pekerja kantoran di Jakarta untuk melakukan pekerjaan secara hybrid, yang disebarkan oleh akun TikTok John Media pada 15 Agustus 2023",Memakan Pisang pada Malam Hari Menyebabkan Batuk
Penjelasan MUI terkait Pernyataan Tengku Zulkarnain yang Sebut MUI akan Ajukan Hukuman Potong Tangan Bagi Koruptor," Tengku Zulkarnain yang menjabat sebagai Wakil Sekretaris Jenderal (Wasekjen) mengatakan, aturan tersebut akan diajukan usai Pemilihan Presiden 2019",COVER MAJALAH TEMPO EDISI 16 SEPTEMBER 2019 DIREVISI
Ricuh saat Laga Persik Kontra Arema, Pada unggahan tersebut juga menampakkan beberapa suporter berkaus Macan Putih yang meneriaki “Arema,Pesan Berantai Informasi Vaksin Covid-19 Paling Aman dari Artikel New York Times
Pemotongan Hukuman Ferdy Sambo dan Putri Chandrawati,Ferdy Sambo dan Putri Chandrawati dipotong masa hukumannya,"Karena Suramadu Ditutup, Para Pemudik Terpaksa Berenang di Laut"
Lahan Hutan Prabowo Ratusan Ribu Hektare,"Pernyataan Jokowi disampaikan untuk menanggapi kritik Prabowo soal banyaknya lahan yang dibagikan kepada rakyat, tetapi lahan untuk pertanian tidak bertambah, sehingga Prabowo khawatir negara akan kekurangan lahan untuk bertani",Video Meteor Jatuh di Laut Baltik
Tanduk Rusa Merupakan Kanker yang Terkendali,Tanduk Rusa merupakan kanker tulang yang tumbuh dengan aman,LELANG ONLINE MENGATASNAMAKAN PEGADAIAN
Kominfo Analisis Dugaan 34 Juta Data Paspor yang Bocor,Beredar berita Kominfo yang mangabarkan adanya dugaan kebocoran 34 juta data paspor Indonesia,"""WhatsApp: Hari jadi ke-9"""
DOKTER OPERASI MEMAKAI ATRIBUT #2019GANTIPRESIDEN,"DOKTER OPERASI MEMAKAI ATRIBUT #2019GANTIPRESIDENBerdasarkan aduan yang masuk pada tim jabar saber hoaks tentang adanya foto yang beredar di sosial media dokter yang sedang tiga petugas medis di RSUD Ade M Djoen, Kabupaten Sintang, Kalimantan Barat berpose memakai atribut#2019GantiPresiden",Video “Vaksinasi di.mall T.Anggrek”
VIRAL VIDEO ANAK SD DIBULLY OLEH TEMAN-TEMANNYA,VIRAL VIDEO ANAK SD DI-BULLY OLEH TEMAN-TEMANNYA[FAKTA]Berdasarkan aduan yang masuk melalui admin Jabar Saber Hoaks,Obama Mencalonkan Diri Sebagai Presiden Kenya Tahun 2021
PESAN WHATSAPP GOLD DAN MARTINELLI,"NARASI : ""Hari ini radio berbicara tentang Whatsapp Gold dan itu benar",Mencuci Hidung Dengan Garam Menghilangkan Virus Corona
Tempat Karaoke Terbakar, Video tersebut diunggah pada 15 Januari 2024 dengan keterangan ‘kebakaran tempat karaoke kota tegal enam orang meninggal,“Merauke lintang Kemukus”
Petugas UPPKB Tertabrak dan Masuk Kolong Truk Barang,Petugas Unit Pelaksana Penimbangan Kendaraan Bermotor (UPPKB) yang masuk kedalam kolong truk saat berusaha menghantikan laju Truk tersebut,PASIEN VIRUS CORONA DI RSU MAUMERE
PENGHAPUSAN SURAT KETERANGAN TIDAK MAMPU (SKTM) SEBAGAI SALAH SATU JALUR DALAM PENERIMAAN…,tentang Beredarnya pemberitaan Penghapusan Surat Keterangan Tidak Mampu (SKTM) sebagai salah satu jalur dalam penerimaan peserta didik baru (PPDB),Keributan antara camat dan warga pemilik tanah
Polisi Jaga Rumah Bos Kapal Api,sebuah rumah dijaga oleh polisi dan terdapat jejeran mobil barracuda hingga water canon,NOVEL BASWEDAN SEBAGAI KORDINATOR AKSI 11 APRIL 2022 TERKAIT ISU HUKUM DAN ADVOKASI
Pemutihan Pajak di Jawa Timur, Rentang pemutihan pajak tersebut berlaku mulai 14 april-14 Juli 2023,Bayi Dilahirkan dengan Kelainan Genetik Akibat Ibunya Disuntik Vaksin Covid-19
Anies Diancam Dibunuh saat Live Tiktok,Anies Baswedan diancam dibunuh saat melakukan live streaming di tiktok,“Vaksin pertama kali dibuat di bawah kekhalifahan Ottoman. Tahun 1717”
" Benar, Cabup Barru Malkan Amin Meninggal Dunia di RSUP Wahidin Sudirohusodo","Bersamaan dengan kabar tersebut, berseliweran juga informasi yang membantah kabar meninggalnya Malkan Amin",Undangan Wawancara Kerja Diskominfo Jawa Barat
3 Hari Berturut-turut Pemakaman Covid-19 di Malang,"  Sementara berdasarkan data pasien Covid-19  Provinsi Jawa Timur, di Kota Malang terdapat 2 kasus meninggal karena Covid-19 pada tanggal 6 April hingga 10 April 2023",Vaksin Covid Sebabkan Mandul
VIDEO VIRAL ! POLISI KEJAR DAN PUKULI MAHASISWA HINGGA KEDALAM MASJID,informasi Video Viral ! Polisi Kejar Dan Pukuli Mahasiswa Hingga Kedalam Masjid setelah di lakukan penelusuran Informasi tersebut adalah benar terjadi di Sulawesi,“Pangeran Uni Emirat Arab Dikabarkan Positif Virus Corona”
Presiden Jokowi Teken Peraturan Pemerintah yang Memuat Menteri-Walikota Tidak Perlu Mundur untuk Maju dalam Kontestasi Pilpres,Presiden Jokowi menandatangani Peraturan Pemerintah No,Alat Pendeteksi Tsunami Merupakan Tanda Adanya Gunung Api di Bawah Laut
Pemain Barca Terjangkit Virus Gastroenteritis,pemain Barcelona terjangkit virus Gastroenteritis,SURAT KABAR LUAR NEGERI MEMBERITAKAN JOKOWI TUKANG NGIBUL
Informasi Pihak Kepolisian Akan Bubarkan Warga yang Salat Idul Adha di Jembatan Ampera,"Beredar informasi di media sosial yang menyebutkan bahwa Kasatlantas Polresta Palembang, Andi Baso Rahman, akan membubarkan warga yang salat Idul Adha di Jembatan Ampera, Palembang, Sumatera Selatan","“Pemprov DKI Tunaikan Janji Bansos, Netizen Tagih Janji Ganjar Bagi Sembako di DKI”"
Pupil Mata Membesar Saat Melihat Orang yang Disuka,pupil mata akan membesar jika melihat orang yang disukai,"Tarik Dana Haji, BPKH Ancam Masyarakat Tak Dapat Berhaji Lagi Seumur Hidupnya"
Philadelpia menjadi Sarang Pecandu Narkoba, Philadelphia menjadi daerah kumuh yang menyeramkan di Amerika Serikat,Foto Satelit Pangkalan Militer China di Natuna
FPI Tidak Menyebarkan Spanduk Habib Rizieq Dukung Khilafah,"Front Pembela Islam (FPI) membantah telah memasang dan menyebarkan spanduk bergambarkan Imam Besar FPI Habib Rizieq Shihab mendukung khilafah di sejumlah titik Kota Depok, Jawa Barat","Mario Dandy Hendak Melarikan Diri, Hingga Kakinya Ditembak"
Wakil Bupati Blitar Ancam Mengundurkan Diri dari Jabatannya,Wakil Bupati Blitar ancam mengundurkan diri karena ajudan sang istri dimutasi oleh Bupati,Konsumsi Nigella Oil Menghilangkan Pendarahan di Tenggorokan Orang yang Terdampak Covid
Suara Dentuman Dari Dalam Tanah Madura," Video tersebut diunggah oleh Khairul azam alfarizi pada 13 Juni 2023 dengan keterangan ‘Viral saat ini dari Sumenep Madura, Suara dari dalam bumi di madura”",Foto Proses Produksi Mobil Esemka
Bahaya Mainan Bebek Karet,mainan bebek karet yang berwarna kuning mengandung banyak bakteri jahat,SUKU BADUY TAK PERNAH DI VAKSIN COVID19
"Penggalian Saluran Air di Penjaringan, Jakarta Utara Bukan Proyek Palyja"," “Perlu diklarifikasi bahwa itu bukan Palyja tapi PAM Jaya,” ujar Sandiaga",Foto Pangeran Saudi Disandingkan dengan Pangeran Diponorogo
WARGA SUKABUMI ROBOHKAN RUMAH KADES,kebenaran kalau ada warga Sukabumi yang merobohkan rumah Kades,Pemekaran Kota Yogyakarta
Kerusuhan Gacoan Ambengan Surabaya," Dalam video tertulis kerusuhan tersebut terjadi di Gacoan Aambengan, Surabaya dan mengaitkan antara pekerja gacoan dengan ojek online",VAKSIN PFIZER BERACUN DAN MEMATIKAN
Bahaya Menaruh Batu Diatas Rel, Roda kereta api yang tersangkut benda padat seperti batu atau besi akan menempel pada roda hingga bisa akibatkan anjlok pada kereta api,Info Rekrutmen CPNS dibuka Tanggal 23 Oktober 2019
Selebaran Poster Acara Penobatan Miss Waria Banten 2018,Beredarnya poster tersebut membuat warga Banten terkejut dan mengecam keras acara penobatan Miss Waria 2018 ini,Foto Ariel Noah Ijab Qobul
"VIDEO TIKTOK INI UNGKAP CACING DAN SERANGGA KECIL DI KULIT STROBERI, BEGINI CARA…",VIDEO BUAH STRAWBERRY KELUARKAN SERANGGA SETELAH DIRENDAM DALAM AIR GARAM,“Keasang pengarep mampu menangani virus Corona di Jakarta asal menjadi gubernur DKI”
VIRAL VIDEO ANAK SD DIBULLY OLEH TEMAN-TEMANNYA," Yang menanyakan kebenaran video yang viral, mengenai anak SD yang dibully oleh teman-temannya, walau sudah menangis tetap disiksa",Gadis Ular Gemparkan Thailand
Video Viral Polisi Menendang Muka Ibu-Ibu,Informasi yang beredar menyebutkan bahwa peristiwa itu terjadi lantaran si ibu menjatuhkan HP milik anak AKBP Yusuf hingga pecah,Anies Baswedan Menandatangani Kontrak untuk Pimpin Jakarta dengan Syariat Islam
Tupperware Terancam Alami Kebangkrutan,tentang tupperware yang mengalami masa kebangkuran,“Presiden Kita Memang is the Best : Diabadikan Sebagai Salah Satu Nama Jalan Di Arab Saudi”
PANJAT PINANG ADALAH SIMBOL CARA PENJAJAH MELECEHKAN PRIBUMI,PANJAT PINANG ADALAH SIMBOL CARA PENJAJAH MELECEHKAN PRIBUMI,"BANJIR DI DAERAH KOJA, TANJUNG PRIOK"
Video Gerai Gacoan Didatangi Beberapa Pria Bergamis, Video tersebut diunggah pada 22 September 2023 dengan keterangan ‘gacoan diruqyah’,Vaksin Covid-19 Buatan Pfizer Berbentuk Vape
Penganiayaan di Dalam Bus,adegan penganiayaan seorang pria kepada wanita di dalam bus,Lowongan Kerja Crew Runner PON Papua 2021
Waduk Kedungombo Bekas Pemukiman, Pengunggah juga menyebut   bekas pemukiman tersebut terlihat saat air di Waduk surut,Amir Khan Memberikan Sedekah Satu Kg Tepung Berisi Uang Tunai Bagi yang Membutuhkan
Kecelakaan di Jalur Klemuk Kota Batu,"terjadi kecelakaan di Kota Batu pada Selasa, 16 Mei 2023","Tanggal 10-12 April, Aktivitas Berhenti Total 3 Hari"
"Pilkada Sleman, Sri: Merapi Siaga, Warga Rentan Sudah Diungsikan?"," Mengawali jawabannya, sebagai wakil bupati petahana, Sri memaparkan tindakan Pemkab Sleman menyikapi kenaikan status Merapi",Pesan Berantai Ulang Tahun Whatsapp ke-11 Gratis Kuota 35 GB
Aksi Gerak Jalan di Bangkalan Ricuh,adanya Lomba Gerak Jalan dalam Rangka Memperingati HUT Ke-78 RI berakhir ricuh,Kuota 100GB Gratis dari Pemerintah Selama Pandemi Covid-19
Prabowo Sebut Kekayaan RI Banyak Berada di Luar Negeri,"Calon presiden nomor urut 02 Prabowo Subianto menyebut banyak kekayaan Indonesia tidak berada di dalam negeri, melainkan mengalir ke luar negeri","TNI: PRABOWO MENANG MUTLAK, SILAKAN DEKLARASI KEMENANGAN DI MANA-MANA, ASAL TERTIB"
Penipuan List Order di Tiktok Melalui Pesan Whatsapp," Pada unggahan tersebut, terduga korban mendapatkan pesan dari calon pelanggan di online shop",LOWONGAN KERJA DINAS KESEHATAN KABUPATEN BANDUNG BARAT
Kebakaran di Kawasan Gunung Bromo,Kawasan Gunung Bromo mengalami kebakaran,"“Pemprov DKI Tunaikan Janji Bansos, Netizen Tagih Janji Ganjar Bagi Sembako di DKI”"
Modus Penipuan Mengatasnamakan PLN,waspada pada bentuk penipuan yang mengatasnamakan PLN dengan modus penggantian nomer pelanggan (No ID),"GUS YAQUT : KAMI NKRI DAN KAMI TIDAK TAKUT KE PAPUA. TAPI MAAF, ANGGARAN TIDAK ADA…"
VIDEO PROSES PENGOLAHAN MEMATANGKAN PISANG DENGAN INSTAN DENGAN BAHAN CAIRAN,VIDEO PROSES PENGOLAHAN MEMATANGKAN PISANG DENGAN INSTAN DENGAN BAHAN CAIRAN,Video Pemindahan Kubur Imam Samudera akibat Proyek Melebarkan Jalan
Oknum TNI Viral Tendang Motor Minta Maaf,Beredar sebuah potongan video di TikTok memperlihatkan oknum TNI viral yang menendang ibu dan anak di Bekasi sedang berlutut meminta maaf,Kabar John Cena Meninggal Dunia pada 18 Agustus 2021
Penganiayaan di Dalam Bus, Lalu pria genit tersebut marah dan menganiaya di dalam bus,"“Emil Saat Diambil Darah untuk Uji Vaksin China, tutup jarumnya belum di buka”"
Lurah di Kota Bima Copot Banner Acara Transpuan,salah seorang Lurah di Kota Bima mencopot banner dalam gelaran acara ulang tahun transpuan,Foto Turun Hujan Deras saat Warga di Turki Salat Minta Hujan
Video Viral Polisi Menendang Muka Ibu-Ibu,"Beredar sebuah video yang memperlihatkan seorang oknum polisi menendang ibu paruh baya di minimarket Graha Loka Selindung Pangkal Pinang, Kepulauan Bangka Belitung, viral di media sosial",350 WARGA SELANDIA BARU MASUK ISLAM SETELAH 50 MUSLIM TERBUNUH DI NEW ZEALAND
Tanah Longsor di Desa Tumpakpelem Ponorogo,"terasering di Desa Tumpakpelem, Ponorogo mengalami longsor oleh akun Ponorogo Update Berita pada 4 Mei 2023",44 KARYAWAN PT. BAKRIE AUTOPARTS BEKASI POSITIF CORONA
Penjelasan MUI terkait Pernyataan Tengku Zulkarnain yang Sebut MUI akan Ajukan Hukuman Potong Tangan Bagi Koruptor, Aturan tersebut adalah tentang hukuman potong tangan bagi pencuri dan koruptor,Terapi Uap Panas dan Minyak Kayu Putih Dapat Membunuh Virus Corona
Kemiskinan di Kabupaten Mamuju Semakin Meningkat," Dalam sesi pemaparan visi-misi pasangan 01 Sitti Sutinah Suhardi dan Ado Mas’ud menyebutkan bahwa “Kemiskinan menjadi masalah utama, ketimpangan antara desa dan kota terjadi, IPM dan PDRB semakin rendah, kemiskinan semakin meningkat,” sebut Sitti Sutinah Suhardi",Menko Luhut Cium Kaki Prabowo jika Terpilih Jadi Presiden
Pembelian Tiket Kapal Ferry Lewat Website atau Aplikasi, Metode pembayaran yang tersedia disana juga beragam dan memudahkan penumpang kapal ferry dalam mencari informasi ketersediaan jadwal,Foto “Erdogan Mengusung Keranda Jenazah Muaddzin Masjid Istanbul”
Penjelasan MUI terkait Pernyataan Tengku Zulkarnain yang Sebut MUI akan Ajukan Hukuman Potong Tangan Bagi Koruptor, Dia menyebut MUI sedang menggodok aturan baru yang sesuai dengan syariat Islam bagi pencuri dan koruptor,“LAUTAN MANUSIA YANG INGINKAN PERUBAHAN UNTUK INDONESIA LEBIH BAIK #JokowiMusuhRakyat”
Gunung Baluran Terbakar,"Gunung Baluran Terbakar dengan keterangan ‘Gunung Baluran terbakar, per hari ini Taman Nasional Baluran ditutup dalam rangka upaya pemadaman mulai tanggal 25-30 September 2023’",Surat Edaran Oleh Wali Kota Pontianak Terkait Kelayakan Penerima Donasi
WABAH PENYAKIT DBD DI KOTA CIMAHI,kebenaran wabah penyakit DBD yang sedang dialami oleh warga Kota Cimahi,SEJUMLAH KELURAHAN DI JAKARTA MASUK ZONA HITAM
Isbat Nikah dan Nikah Baru Masal di Surabaya,00 di Grand Empire Palace Surabaya,WHO Mengatakan bahwa Menyimpan Ponsel Dekat Kepala dapat Menyebabkan Tumor
"Lambangnya Dicatut Sekber Gerindra-PKS, PBB Beri Klarifikasi"," “Pencantuman logo PBB dalam rumah sekretariat bersama tanpa konfirmasi ke saya selaku Ketua Bidang Pemenangan Presiden dan tanpa ada surat ke Sekretariat Jenderal PBB,” ujar Sukmo",BANTUAN SOSIAL FINANSIAL BJB RP. 5.500.000
Barcode dari Menristekdikti terhubung dengan website keberhasilan Jokowi, Website itu berisi keberhasilan Presiden Joko Widodo memerintah selama 4 tahun,Bahaya Bertelepon di Dapur Saat Kompor Menyala
"VIDEO TIKTOK INI UNGKAP CACING DAN SERANGGA KECIL DI KULIT STROBERI, BEGINI CARA…","Beredar tayangan sebuah video, setelah direndam dalam air garam sekitar 10-15 menit buah strawberry mengeluarkan serangga kecil",Gambar Mahasiswa Indonesia Terima Penghargaan Nobel Kedokteran Atas Penemuan Obat Diabetes
BELI PEMPEK DAN NASI BUNGKUS DI PALEMBANG KENA PAJAK 10 PERSEN," Peraturan tersebut merupakan Peraturan Daerah Kota Palembang tahun 2002 tentang pajak restoran, dengan besaran pajak restoran 10 persen",“Mengerikan Agama Baru Meniru Islam”
"Kabel Listrik Dipotong Pencuri, Sidotopo Lor Surabaya Mati Listrik 8 Jam",tindak kriminal berupa pemotongan kabel listrik oleh pencuri hingga mengakibatkan mati listrik selama 8 jam,"“Pemprov DKI Tunaikan Janji Bansos, Netizen Tagih Janji Ganjar Bagi Sembako di DKI”"
3 Hari Berturut-turut Pemakaman Covid-19 di Malang," Kepala UPT Pemakaman Kota Malang tidak dapat memastikan pemakaman yang menggunakan protokol Covid-19 memang pasien Covid-19 atau tidak, sebab pemakaman tersebut berdasarkan permintaan dari Rumah Sakit",Lowongan Kerja PT Pertamina (PERSERO)
Hadiah Umrah dari Jalan Santai diganti TV dan Dispenser,pemenang hadiah utama umrah pada acara jalan sehat diganti menjadi TV dan dispenser,Foto Siswi Menulis Kalimat Berbahasa Indonesia di Papan Tulis
Informasi Pihak Kepolisian Akan Bubarkan Warga yang Salat Idul Adha di Jembatan Ampera,"“Ya akan kami bubarkan bila salat di atas jembatan atau tutup jalur utama,” tegas Andi, Senin (20/8)",LOWONGAN KERJA MENGATASNAMAKAN TOKOPEDIA
